features,MSE,MAE,R^2,Adjusted R^2,RMSE
"('425 %Al',)",122.03991623935079,7.7201950562352355,0.0008501313746150929,0.0007679509281085517,11.04716779266753
"('TC55552',)",122.10089412644255,7.685723823216386,0.0003509008789360779,0.0002686793705366508,11.049927335799207
"('DI55152',)",122.16503596007479,7.71408335333706,-0.00017423308232733525,-0.00025649778318959093,11.052829319232012
"('DI55102',)",119.07260567818537,7.56452641423244,0.0251437235755837,0.025063541286027502,10.91203948298325
"('AYC55580',)",120.8145760332389,7.6300512598129275,0.010882082753186584,0.010800727438394109,10.991568406430398
"('FC55569',)",120.16208619240834,7.620808215673438,0.016224065596460946,0.01614314966173447,10.961846842225462
"('FC55555',)",119.73769784585315,7.567793753767964,0.01969856454543706,0.019617934389535296,10.942472199912283
"('FC55576',)",118.62753018808066,7.549808320005502,0.028787589707008565,0.02870770712679027,10.891626608917543
"('FC55009',)",121.40108916328735,7.671380636695916,0.006080256146835494,0.005998505880027372,11.01821624235463
"('TI55023',)",122.19671042028483,7.706857689898451,-0.00043355424324631464,-0.0005158402733698164,11.05426209297956
"('425 %Al', 'TC55552')",121.9731374369451,7.68916429464546,0.001396854395300906,0.0012325699261712675,11.044144939149662
"('425 %Al', 'DI55152')",122.05663190624887,7.71831200428072,0.0007132789668140571,0.0005488820397707705,11.04792432569344
"('425 %Al', 'DI55102')",118.87811537244131,7.565151288083755,0.026736030170189662,0.026575914357105823,10.903124110659354
"('425 %Al', 'AYC55580')",120.50298208721824,7.630535440499446,0.013433125558070302,0.013270821227323926,10.977385029560466
"('425 %Al', 'FC55569')",120.1337823307047,7.62373268544406,0.016455791416784438,0.016293984357710123,10.960555749171878
"('425 %Al', 'FC55555')",119.66994515436029,7.5727359526687765,0.02025326086849366,0.020092078547340186,10.939375903330149
"('425 %Al', 'FC55576')",118.62649528460365,7.551172284554057,0.02879606253872591,0.028636285630366798,10.8915790996808
"('425 %Al', 'FC55009')",121.241768368156,7.676374707494014,0.0073846273429986065,0.007221327947974032,11.010983987280882
"('425 %Al', 'TI55023')",122.08114837296678,7.7117059430644925,0.0005125608308532703,0.00034813088281204774,11.04903382079025
"('TC55552', 'DI55152')",122.10335870231215,7.685735986756586,0.00033072321303628804,0.00016626335011182825,11.05003885523993
"('TC55552', 'DI55102')",118.86729041089355,7.5167346955924925,0.026824654935279746,0.02666455370223464,10.902627683769337
"('TC55552', 'AYC55580')",120.77875998852025,7.5956845421091135,0.011175311374428287,0.011012635601026055,10.989939034795427
"('TC55552', 'FC55569')",119.95685587856634,7.582582726577005,0.017904301435946457,0.017742732677442863,10.9524817223571
"('TC55552', 'FC55555')",119.79219154444957,7.556277637105643,0.01925242058310639,0.0190910736094424,10.944961925216989
"('TC55552', 'FC55576')",118.43649352445853,7.511011355814174,0.030351621076764146,0.03019210007998474,10.882853188592527
"('TC55552', 'FC55009')",121.3273678950052,7.638727332247565,0.006683817651864321,0.006520402963643757,11.01487030767976
"('TC55552', 'TI55023')",122.15466265301559,7.6785153868551,-8.930604611823156e-05,-0.00025383500985043383,11.052360049012862
"('DI55152', 'DI55102')",119.05552603773587,7.564537105303864,0.025283555861913776,0.02512320109607702,10.911256849590512
"('DI55152', 'AYC55580')",120.75505294915305,7.629981394337818,0.011369402668483075,0.011206758825868635,10.988860402660189
"('DI55152', 'FC55569')",120.16594419105141,7.620829181186455,0.016192479874705623,0.01603062949712475,10.962022814747806
"('DI55152', 'FC55555')",119.75236551340276,7.5654241486328875,0.019578479260582426,0.01941718592822428,10.943142396652012
"('DI55152', 'FC55576')",118.6278823870266,7.547200948472629,0.028784706228050072,0.02862492745141565,10.891642777241026
"('DI55152', 'FC55009')",121.41570412548421,7.67081497342221,0.0059606023646228135,0.005797068697166119,11.018879440554933
"('DI55152', 'TI55023')",122.21171736232277,7.705584096355016,-0.0005564171935639184,-0.0007210230037462129,11.054940857477384
"('DI55102', 'AYC55580')",118.6734984416497,7.526897007796259,0.028411244197033225,0.028251403980564804,10.893736661111728
"('DI55102', 'FC55569')",117.02178771848689,7.455765384314844,0.041933922701815174,0.04177630715895131,10.817660917152418
"('DI55102', 'FC55555')",116.37172973724071,7.390854957590708,0.0472559957298494,0.04709925574395313,10.787572930795912
"('DI55102', 'FC55576')",114.61692318228279,7.354007178176231,0.06162272747530939,0.06146835102182169,10.705929346968567
"('DI55102', 'FC55009')",117.84207156092522,7.489290645017681,0.035218197890923286,0.03505947751548377,10.85550881170133
"('DI55102', 'TI55023')",118.81529335185765,7.56335595205428,0.027250358723888812,0.02709032752519236,10.900242811600926
"('AYC55580', 'FC55569')",118.56566380725586,7.533223471221294,0.029294094366944523,0.029134399391928856,10.888786149394976
"('AYC55580', 'FC55555')",118.70510525583151,7.494990462145427,0.02815247685917721,0.02799259407178878,10.895187251985691
"('AYC55580', 'FC55576')",116.74815043058682,7.470246853572733,0.04417421152436851,0.04401696454098858,10.805005804282883
"('AYC55580', 'FC55009')",120.30105024331672,7.6003096971655815,0.01508635657889279,0.014924324228243524,10.968183543473218
"('AYC55580', 'TI55023')",120.82024990637326,7.629868699867981,0.01083563033195023,0.010672898676168607,10.991826504561162
"('FC55569', 'FC55555')",116.63214200827646,7.4326672962181775,0.045123981103720734,0.04496689037099122,10.799636197959469
"('FC55569', 'FC55576')",118.06049644596081,7.520647833342569,0.033429937115982966,0.033270922546124626,10.865564709022758
"('FC55569', 'FC55009')",119.49598035488744,7.58959319450579,0.021677523617067207,0.02151657560746245,10.931421698703579
"('FC55569', 'TI55023')",120.06877770722085,7.592920234045812,0.016987989102716594,0.016826269597756904,10.95758995889246
"('FC55555', 'FC55576')",116.27685248708693,7.415160167682258,0.048032762831530906,0.04787615063490869,10.783174508793175
"('FC55555', 'FC55009')",119.26282033707137,7.53294729590165,0.023586422019723607,0.023425788051149032,10.920751821054784
"('FC55555', 'TI55023')",119.82604322110446,7.565570438631604,0.01897527438926483,0.018813881821096556,10.946508266159784
"('FC55576', 'FC55009')",117.86480398696014,7.516953511304506,0.03503208582868789,0.034873334835157976,10.856555806836722
"('FC55576', 'TI55023')",118.60829501898141,7.536848532298311,0.028945069466670303,0.028785317072077432,10.890743547572011
"('FC55009', 'TI55023')",121.42926712453855,7.658750609467205,0.005849561082877486,0.005686009147545135,11.019494867031726
"('425 %Al', 'TC55552', 'DI55152')",121.983055694364,7.68958926124742,0.001315652884332441,0.0010691858687559286,11.044593957876586
"('425 %Al', 'TC55552', 'DI55102')",118.6161577204876,7.518157634876094,0.028880696944801554,0.028641032753524365,10.89110452252147
"('425 %Al', 'TC55552', 'AYC55580')",120.4278358923125,7.5938133887876536,0.014048353043317863,0.01380502835255848,10.973961722746827
"('425 %Al', 'TC55552', 'FC55569')",119.91120553088965,7.585486976764725,0.018278044226743062,0.01803576338869428,10.95039750561091
"('425 %Al', 'TC55552', 'FC55555')",119.7204882915434,7.560045414151921,0.019839460446200885,0.019597564952727686,10.941685806654448
"('425 %Al', 'TC55552', 'FC55576')",118.43053219618024,7.513347807187012,0.030400426914637735,0.0301611377801152,10.882579298869373
"('425 %Al', 'TC55552', 'FC55009')",121.13377224502631,7.6403569032213845,0.008268799633198043,0.008024048596582345,11.006078876921894
"('425 %Al', 'TC55552', 'TI55023')",122.01782717789159,7.68171151919448,0.001030976163231112,0.0007844388918005762,11.046167986133996
"('425 %Al', 'DI55152', 'DI55102')",118.8964926674993,7.565286866308298,0.026585573889091663,0.026345343280475886,10.903966831731436
"('425 %Al', 'DI55152', 'AYC55580')",120.49689795125728,7.630600043211155,0.013482936831573311,0.01323947260078151,10.977107904692259
"('425 %Al', 'DI55152', 'FC55569')",120.15052344656472,7.624110318892908,0.01631873065643974,0.016075966276048903,10.961319420880168
"('425 %Al', 'DI55152', 'FC55555')",119.67115854944545,7.570250045281718,0.020243326712708565,0.020001530890080943,10.939431363167166
"('425 %Al', 'DI55152', 'FC55576')",118.62470095306927,7.5502205059331144,0.02881075286441681,0.0285710714115206,10.891496726945716
"('425 %Al', 'DI55152', 'FC55009')",121.25822518271173,7.675701184838204,0.007249894178571581,0.007004891684538661,11.011731252746397
"('425 %Al', 'DI55152', 'TI55023')",122.0934505527285,7.709015609193046,0.00041184197040589066,0.00016515190179045014,11.049590515160663
"('425 %Al', 'DI55102', 'AYC55580')",118.35056224842768,7.521632787272627,0.031055146823116164,0.030816019268037897,10.878904459936564
"('425 %Al', 'DI55102', 'FC55569')",116.94029455778846,7.460621115454393,0.04260111326794114,0.042364835161640024,10.813893589165211
"('425 %Al', 'DI55102', 'FC55555')",116.2273618746581,7.398510502161086,0.04843794615539898,0.04820310853105425,10.78087945738464
"('425 %Al', 'DI55102', 'FC55576')",114.59920444129713,7.3568349330512275,0.061767792125249965,0.06153624419635684,10.705101794999296
"('425 %Al', 'DI55102', 'FC55009')",117.53831435955625,7.48910878156514,0.037705080684636294,0.03746759427809254,10.84150885991227
"('425 %Al', 'DI55102', 'TI55023')",118.65802286694795,7.563767479745365,0.028537943877814942,0.028298195097923085,10.893026341056371
"('425 %Al', 'AYC55580', 'FC55569')",118.39498123207309,7.537036631079866,0.030691485301202692,0.030452267997476357,10.880945787571644
"('425 %Al', 'AYC55580', 'FC55555')",118.48199708180644,7.497122867121303,0.029979080069304054,0.029739686949873945,10.88494359571084
"('425 %Al', 'AYC55580', 'FC55576')",116.66503260055094,7.474482916748601,0.04485470337916375,0.04461898144021492,10.80115885451885
"('425 %Al', 'AYC55580', 'FC55009')",119.93584729993255,7.600518165644731,0.018076300231330777,0.01783396960453698,10.951522601900274
"('425 %Al', 'AYC55580', 'TI55023')",120.51614346579024,7.630078194192769,0.013325372373076738,0.013081869256683198,10.977984490141633
"('425 %Al', 'FC55569', 'FC55555')",116.6300842406982,7.434266203529918,0.04514082819989085,0.04490517687417506,10.799540927312522
"('425 %Al', 'FC55569', 'FC55576')",118.0608678019992,7.520955592211896,0.03342689679648425,0.03318835456963254,10.865581797676514
"('425 %Al', 'FC55569', 'FC55009')",119.43686172139793,7.5933413598554,0.0221615322652583,0.021920209839854876,10.928717295336993
"('425 %Al', 'FC55569', 'TI55023')",120.02755066884127,7.596584547496308,0.017325517931399026,0.017083002017759252,10.955708588167234
"('425 %Al', 'FC55555', 'FC55576')",116.27656038263387,7.414973178763231,0.04803515431240768,0.04780021728237627,10.78316096432924
"('425 %Al', 'FC55555', 'FC55009')",119.15733105956387,7.537199820662756,0.024450070578415528,0.024209312945290717,10.915920989983569
"('425 %Al', 'FC55555', 'TI55023')",119.75992754719455,7.570300445426842,0.019516568327648143,0.019274593147077468,10.943487905928098
"('425 %Al', 'FC55576', 'FC55009')",117.85273662369663,7.5197468887286885,0.03513088222900462,0.03489276053162771,10.856000028725894
"('425 %Al', 'FC55576', 'TI55023')",118.60528791393793,7.5386806050626545,0.02896968885925688,0.028730046630446204,10.890605488857721
"('425 %Al', 'FC55009', 'TI55023')",121.25019890566098,7.661080977808689,0.00731560590558622,0.007070619628662622,11.011366804609725
"('TC55552', 'DI55152', 'DI55102')",118.76868574544719,7.512723572404035,0.027631938663116418,0.02739196628865015,10.898104685928063
"('TC55552', 'DI55152', 'AYC55580')",120.6672678204298,7.590870801418202,0.012088106044672586,0.011844297581208862,10.984865398375613
"('TC55552', 'DI55152', 'FC55569')",119.90077113655302,7.579801043495659,0.018363471389034602,0.018121211633701173,10.949921056179036
"('TC55552', 'DI55152', 'FC55555')",119.79574191242423,7.5560971830243755,0.019223353456507386,0.018981305912937896,10.94512411589856
"('TC55552', 'DI55152', 'FC55576')",118.44345497382896,7.5116023308055695,0.03029462717314435,0.03005531192812294,10.883173019566902
"('TC55552', 'DI55152', 'FC55009')",121.3168254172992,7.6385362462027055,0.006770129700737426,0.006525008804809662,11.014391740686328
"('TC55552', 'DI55152', 'TI55023')",122.15398513503081,7.678518425316198,-8.375915599945216e-05,-0.0003305715348631555,11.052329398594253
"('TC55552', 'DI55102', 'AYC55580')",118.4948280936742,7.48106717330475,0.02987403162108271,0.029634612576566632,10.885532972421434
"('TC55552', 'DI55102', 'FC55569')",116.56926507818426,7.394538303924542,0.04563875920564919,0.045403230765176716,10.796724738465098
"('TC55552', 'DI55102', 'FC55555')",116.37182885209867,7.366882369730144,0.04725518426913744,0.04702005474896698,10.7875775247318
"('TC55552', 'DI55102', 'FC55576')",114.11360274838526,7.295590740033303,0.06574344929241471,0.06551288252274345,10.6823968634565
"('TC55552', 'DI55102', 'FC55009')",117.55511380439181,7.43920284055728,0.03756754238063165,0.037330022030774956,10.842283606528277
"('TC55552', 'DI55102', 'TI55023')",118.49849255478587,7.5138473038575295,0.029844030405487554,0.029604603956920328,10.885701289066583
"('TC55552', 'AYC55580', 'FC55569')",118.36106166459224,7.490719625217255,0.030969187322284597,0.030730038553114403,10.879387007758858
"('TC55552', 'AYC55580', 'FC55555')",118.75977180600023,7.481688237240557,0.02770491774817163,0.02746496338433846,10.897695710837233
"('TC55552', 'AYC55580', 'FC55576')",116.55714212577193,7.427625397250078,0.04573801071846051,0.04550250677243839,10.796163305812483
"('TC55552', 'AYC55580', 'FC55009')",120.24010042856872,7.563490981429558,0.015585357244206066,0.015342411873338402,10.965404708836274
"('TC55552', 'AYC55580', 'TI55023')",120.76660046000386,7.595847572027161,0.011274862338523262,0.01103085317325636,10.989385809043373
"('TC55552', 'FC55569', 'FC55555')",116.62470296719479,7.413299181500265,0.04518488508619212,0.044949244633350594,10.799291780815759
"('TC55552', 'FC55569', 'FC55576')",117.78018166827033,7.477108897021087,0.03572489504396037,0.035486919944020645,10.852657815865676
"('TC55552', 'FC55569', 'FC55009')",119.25142182129359,7.548066982168321,0.02367974251594185,0.02343879477223898,10.920229934451637
"('TC55552', 'FC55569', 'TI55023')",119.88331660156402,7.5550569269136725,0.01850637296483526,0.018264148476425768,10.949124010694373
"('TC55552', 'FC55555', 'FC55576')",116.27041977901122,7.397315988776898,0.04808542789085579,0.047850503267926614,10.782876229420943
"('TC55552', 'FC55555', 'FC55009')",119.30847247235641,7.52027826773365,0.023212664593644572,0.02297160157898359,10.922841776403997
"('TC55552', 'FC55555', 'TI55023')",119.87360142606704,7.554958891729436,0.018585911829008595,0.018343706970131213,10.948680350894671
"('TC55552', 'FC55576', 'FC55009')",117.6280262959682,7.4727224133502865,0.0369706023906301,0.03673293472093375,10.845645499276113
"('TC55552', 'FC55576', 'TI55023')",118.43387171247147,7.500196702373042,0.03037308604644895,0.030133790164426855,10.88273273183126
"('TC55552', 'FC55009', 'TI55023')",121.36094156174605,7.6286297277248725,0.006408947545860522,0.006163737513172007,11.016394217789506
"('DI55152', 'DI55102', 'AYC55580')",118.57662214076134,7.525333433531808,0.029204377675719595,0.028964793366162755,10.889289331299878
"('DI55152', 'DI55102', 'FC55569')",116.93277434215607,7.453147188191017,0.04266268183249511,0.04242641892080523,10.813545872754046
"('DI55152', 'DI55102', 'FC55555')",116.37656881407749,7.390537089131957,0.04721637784797328,0.046981238750699816,10.787797217878982
"('DI55152', 'DI55102', 'FC55576')",114.63564087727083,7.3551692635737425,0.06146948431467347,0.061237862765886386,10.70680348550728
"('DI55152', 'DI55102', 'FC55009')",117.7868019409557,7.490001264454656,0.03567069437922965,0.03543270590301517,10.852962818555849
"('DI55152', 'DI55102', 'TI55023')",118.80096240643738,7.563337656594485,0.02736768723963323,0.027127649650106944,10.899585423603844
"('DI55152', 'AYC55580', 'FC55569')",118.39001034406358,7.5303195192395,0.030732182330950986,0.030492975070914308,10.880717363485902
"('DI55152', 'AYC55580', 'FC55555')",118.68819934387514,7.495075263462245,0.028290886817416427,0.028051077065890606,10.894411381248421
"('DI55152', 'AYC55580', 'FC55576')",116.73478508130972,7.470789699091911,0.04428363463269114,0.044047771758710996,10.804387307076219
"('DI55152', 'AYC55580', 'FC55009')",120.23265591268665,7.6012028430147405,0.015646306049275416,0.015403375720067447,10.965065248902382
"('DI55152', 'AYC55580', 'TI55023')",120.76005669205276,7.629832704667044,0.011328436653305962,0.011084440709735799,10.989088073723531
"('DI55152', 'FC55569', 'FC55555')",116.6467941737242,7.433109763258852,0.04500402273572679,0.04476833764755683,10.800314540499466
"('DI55152', 'FC55569', 'FC55576')",118.08177158732364,7.52073734223161,0.033255755951715704,0.03301717148872263,10.866543681747368
"('DI55152', 'FC55569', 'FC55009')",119.4841086440687,7.589437725765497,0.021774718196270637,0.021533300308362535,10.930878676669534
"('DI55152', 'FC55569', 'TI55023')",120.05641336905303,7.592940953490863,0.01708921685865661,0.0168466426278715,10.957025753782503
"('DI55152', 'FC55555', 'FC55576')",116.24967634863673,7.411685778549182,0.048255255897725724,0.04802037318694041,10.781914317440885
"('DI55152', 'FC55555', 'FC55009')",119.27800377309835,7.531779574009577,0.023462114099994436,0.02322111264740312,10.921446963342282
"('DI55152', 'FC55555', 'TI55023')",119.83461047945346,7.562987504274592,0.018905133608136393,0.01866300753054706,10.946899582961994
"('DI55152', 'FC55576', 'FC55009')",117.87124795052445,7.514851080302678,0.03497932861984099,0.03474116952029005,10.856852580307262
"('DI55152', 'FC55576', 'TI55023')",118.60643624696559,7.533556985182496,0.028960287371374238,0.028720642822354314,10.890658209996564
"('DI55152', 'FC55009', 'TI55023')",121.43760802770808,7.658262275596455,0.005781273488434047,0.005535908550992841,11.019873321763189
"('DI55102', 'AYC55580', 'FC55569')",116.46664498998689,7.411459975236003,0.04647891749811828,0.04624359640174569,10.791971320847127
"('DI55102', 'AYC55580', 'FC55555')",116.17483162119524,7.366851999069533,0.0488680152464277,0.048633283759568435,10.778442912647227
"('DI55102', 'AYC55580', 'FC55576')",113.9786056556472,7.307924483997278,0.06684868052847603,0.06661838652070917,10.676076323052735
"('DI55102', 'AYC55580', 'FC55009')",117.65548192152629,7.465424454673051,0.03674582114270142,0.036508097998857014,10.846911169615352
"('DI55102', 'AYC55580', 'TI55023')",118.17823342941534,7.519290785406098,0.03246601567801477,0.03222723631367075,10.870981254211385
"('DI55102', 'FC55569', 'FC55555')",113.10215526626224,7.2405404986812085,0.07402424503552774,0.07379572189757999,10.634949706804553
"('DI55102', 'FC55569', 'FC55576')",114.15227831205978,7.3241340842400335,0.06542680957685953,0.06519616466313227,10.684206957564037
"('DI55102', 'FC55569', 'FC55009')",115.8870715199301,7.404781798506419,0.051223928592113666,0.05098977852513242,10.76508576463421
"('DI55102', 'FC55569', 'TI55023')",117.00841190138303,7.455885842322273,0.04204343151101397,0.04180701577347978,10.817042659682128
"('DI55102', 'FC55555', 'FC55576')",111.93864910782263,7.196702917004782,0.08354995646808705,0.0833237841967317,10.58010629000591
"('DI55102', 'FC55555', 'FC55009')",115.4941814541867,7.336562866858521,0.05444054877400428,0.05420719254221107,10.746821923442608
"('DI55102', 'FC55555', 'TI55023')",115.74082610157602,7.3794040282531865,0.05242125070637149,0.052187396128559604,10.75829104001077
"('DI55102', 'FC55576', 'FC55009')",113.27235408759225,7.282204728576972,0.07263081463003196,0.07240194760501473,10.642948561728195
"('DI55102', 'FC55576', 'TI55023')",114.4359487121788,7.351735151672705,0.0631043789185497,0.06287316084819394,10.697473940710433
"('DI55102', 'FC55009', 'TI55023')",117.58480059122067,7.490116692981282,0.037324494449479384,0.03708691411740861,10.843652548436836
"('AYC55580', 'FC55569', 'FC55555')",115.37394935579435,7.366521088309197,0.055424897903494585,0.055191784600904126,10.741226622494954
"('AYC55580', 'FC55569', 'FC55576')",116.10209783193702,7.43987332575658,0.04946349218726276,0.04922890765917465,10.775068344652716
"('AYC55580', 'FC55569', 'FC55009')",118.14005370083007,7.515383286671139,0.03277859595482613,0.032539893732702385,10.869225073611737
"('AYC55580', 'FC55569', 'TI55023')",118.62145773964012,7.523510840154686,0.02883730529391293,0.028597630393936146,10.891347838520268
"('AYC55580', 'FC55555', 'FC55576')",114.7533407330462,7.342276011033818,0.060505866843775236,0.06027400748218681,10.712298573744395
"('AYC55580', 'FC55555', 'FC55009')",118.38091325939925,7.471803260041052,0.030806660839518663,0.030567471960160186,10.880299318465427
"('AYC55580', 'FC55555', 'TI55023')",118.63504555340171,7.495127439250192,0.028726060852314106,0.028486358498131636,10.891971610016329
"('AYC55580', 'FC55576', 'FC55009')",116.25953805018136,7.453363023250786,0.04817451741390533,0.047939614777531614,10.782371633837398
"('AYC55580', 'FC55576', 'TI55023')",116.78443182080869,7.467428396128006,0.04387717308489081,0.0436412098995711,10.806684589679143
"('AYC55580', 'FC55009', 'TI55023')",120.33497445928177,7.598744966487077,0.014808616500325389,0.014565479436283058,10.969729917335329
"('FC55569', 'FC55555', 'FC55576')",115.0066253789361,7.355500660751836,0.058432206614695836,0.058199835490958085,10.724114200200225
"('FC55569', 'FC55555', 'FC55009')",116.2877552965667,7.417372492482338,0.04794350071963294,0.047708541070254795,10.783680044241237
"('FC55569', 'FC55555', 'TI55023')",116.66516055422117,7.416377113689606,0.04485365581295153,0.04461793361547206,10.801164777662693
"('FC55569', 'FC55576', 'FC55009')",117.34605149391521,7.490567651501544,0.03927915106149582,0.039042053122468556,10.832638251779445
"('FC55569', 'FC55576', 'TI55023')",117.94467081452035,7.4933068525243876,0.03437821017289189,0.03413990272229295,10.86023346040592
"('FC55569', 'FC55009', 'TI55023')",119.35791142916254,7.556139365712917,0.022807904178200333,0.02256674127202507,10.925104641565797
"('FC55555', 'FC55576', 'FC55009')",115.78367461726417,7.3910393917962685,0.05207044672239758,0.05183650556907138,10.760282274051372
"('FC55555', 'FC55576', 'TI55023')",116.35066980507685,7.410517899037811,0.04742841496040273,0.0471933281921304,10.786596766593107
"('FC55555', 'FC55009', 'TI55023')",119.34805800999312,7.528238214623478,0.022888574853599075,0.0226474318562776,10.92465367917872
"('FC55576', 'FC55009', 'TI55023')",117.80435298597646,7.496180537352578,0.035527002668622965,0.035288978730485865,10.853771371554519
"('425 %Al', 'TC55552', 'DI55152', 'DI55102')",118.58213415776822,7.516394729524526,0.029159250382634005,0.028839763504931892,10.889542421872841
"('425 %Al', 'TC55552', 'DI55152', 'AYC55580')",120.38619992407236,7.591409847816049,0.014389229811175075,0.01406488237548964,10.97206452423938
"('425 %Al', 'TC55552', 'DI55152', 'FC55569')",119.88045076487388,7.583134603722439,0.0185298357829089,0.01820685094894192,10.948993139319883
