,425 SAO Al,Octanol PPM,Hexanol PPM,Ethanol PPM,Dodecanol PPM,Decanol PPM,Butanol PPM,%nC8OH,%nC6OH,%nC12OH,%nC10OH,%Al2O3_bM,AYC55580,DI55102,DI55152,DI55580,FC42428,FC52018,FC55003,FC55009,FC55102,FC55152,FC55552,FC55555,FC55569,FC55576,FFC55553,FFC55555,FYC55553,II52554,LC52572,LC55553,LC55555,LC55557,LC55568,LC90366,LC90368,PI55004,PI55020,PI55560,TC52015,TC55552,TC55553,TC55555,TC55566,TI40050,TI52014,TI55013,TI55014,TI55015,TI55016,TI55017,TI55021,TI55023,VI52558B
2031,6.235,6.1925,4.55,5.595,1.605,4.1275,4.655,6.1925,4.55,1.605,4.1275,11.99425,9.653693,1.032206,0.931274,0.988784,37426.4125,26314.1875,5514.54625,867.1805,42099.8,37829.3375,39273.5875,30224.1375,6161.835,237.023875,0.979403,0.769869,38459.75,136.422125,61.338912,66.007762,65.005625,64.898287,41.11655,34.143362,0.233215,1.743266,-0.980939,0.480277,78.152462,155.640875,153.088375,183.086875,179.87025,82.567288,125.096375,178.552125,183.661125,180.366875,181.887,170.4985,246.55525,217.042125,1.960313
2032,6.369,5.49,4.75,3.7125,1.415,3.34,4.7775,5.49,4.75,1.415,3.34,12.37725,10.146937,1.032776,0.929709,0.991122,33445.275,22997.575,6015.11,1057.9695,38741.6375,33996.55,36008.95,27725.55,6216.16375,179.0835,0.9802,0.770072,35279.4375,126.239875,61.447812,66.199975,64.948275,64.972313,40.845163,32.858337,0.238074,2.57484,-0.863462,1.349295,62.886362,146.992375,149.675375,182.895375,180.029125,57.834138,112.50225,174.38675,181.1095,177.496875,180.2,167.69425,249.269625,219.814875,1.57046
2033,6.541,7.1775,5.745,3.2975,1.975,4.49,5.8025,7.1775,5.745,1.975,4.49,12.72725,10.38555,1.02927,0.933629,0.993734,31070.1,17835.6375,5895.9675,805.762875,31134.2,28542.475,29968.7625,23013.0375,6200.60875,105.391825,0.979103,0.768967,29321.5125,109.386,60.20215,65.538837,65.033275,65.171338,40.99285,32.679688,0.236454,2.358025,-0.813363,1.137802,66.558275,142.19875,143.746125,182.89425,180.1905,70.280438,115.423,167.998125,177.954375,173.890375,178.31675,164.495625,245.053375,218.896625,1.716796
2034,6.5855,5.9425,5.25,5.965,1.635,3.495,5.855,5.9425,5.25,1.635,3.495,12.023,9.829733,1.02948,0.93049,0.987405,38839.5875,26698.875,5640.22375,942.448125,42967.3125,37628.3625,39088.2,30117.975,6228.41375,73.07105,0.982988,0.770257,38454.9375,137.010625,61.605837,66.299037,65.026187,65.145888,41.059113,37.199325,0.233215,3.178881,-0.770395,1.97362,67.943012,152.237125,148.9805,182.9955,179.942,66.352238,118.513,173.06675,181.683625,177.90175,180.633125,167.61625,244.403875,221.6175,1.577291
2035,6.492,6.4175,5.58,7.0025,1.76,3.58,6.0225,6.4175,5.58,1.76,3.58,12.6105,9.413925,1.027484,0.930152,0.986402,39065.5125,26635.0625,5708.78,795.98125,43142.4875,37976.35,39960.2625,30777.25,6193.1475,87.917825,0.980759,0.769826,39218.3375,137.799625,62.214912,65.837325,65.01865,64.841138,41.05805,39.100813,0.236454,1.937646,-0.954852,0.682909,73.90205,158.146,145.645375,183.046375,180.172625,75.393487,123.230125,173.126625,181.409625,177.62575,180.411875,167.898,242.2155,217.727,1.567021
2036,6.262,6.74,5.5925,7.6925,2.0175,4.385,5.8125,6.74,5.5925,2.0175,4.385,12.4875,8.961057,1.026061,0.921887,0.982133,38870.0625,27550.4625,5671.19625,1007.025625,43640.2875,38677.125,40000.575,30805.425,6169.63125,43.96105,0.980055,0.769562,39184.35,140.014,63.05455,65.879613,64.489688,65.0956,41.187762,39.598,0.234835,2.207237,-0.919652,0.953377,63.694888,155.44625,151.443875,182.914375,180.04625,64.557563,117.43675,179.54625,183.126625,179.0025,181.5155,167.861,242.07775,218.592125,1.579308
2037,6.1435,5.485,4.725,6.685,1.1975,3.27,5.2275,5.485,4.725,1.1975,3.27,12.26875,8.521181,1.023091,0.921303,0.978992,38895.0125,26159.5375,5735.5025,1015.33475,43002,38401.5625,39993.3625,30811.9125,6270.65375,77.48015,0.980327,0.769878,39177.7,135.665,61.807825,66.002313,64.048462,65.120675,40.79525,40.943863,0.236454,2.172819,-0.857741,0.878114,73.4912,155.16825,155.188125,183.05975,195.6035,74.078137,122.14575,181.4005,184.281875,180.392375,182.141625,169.513,241.1685,218.07475,1.628557
2038,6.7745,9.795,7.4425,6.085,2.7575,6.4625,7.4625,9.795,7.4425,2.7575,6.4625,12.05575,7.941519,1.02328,0.923013,0.973752,39163.6,27993.175,4880.18125,392.687125,42950.2625,37787.6375,39992.1,30786.4875,6354.54125,106.1259,0.979145,0.769904,39227.175,141.4375,61.450187,65.904225,63.287662,65.220038,40.8674,42.310775,0.229976,2.356661,-0.953672,0.959089,85.481187,159.601375,135.103375,183.038125,198.296125,86.725875,129.15325,170.61675,176.41675,173.2695,177.4035,166.715125,243.74825,218.824875,1.642025
2039,6.732,7.6825,6.335,5.49,2.6275,5.2425,6.545,7.6825,6.335,2.6275,5.2425,12.00875,7.591463,1.022434,0.920276,0.970992,39265.9375,31366.3,5403.915,454.4125,42912.275,37793.9125,39999.7125,30823.475,6473.69125,28.503225,0.980056,0.77066,39194.725,152.264,62.794663,65.87615,63.945313,65.135863,40.858025,43.421788,0.236454,2.319052,-1.037966,0.863063,77.336037,160.770375,134.903625,182.972875,196.665,78.6842,126.841625,170.76375,176.408875,173.42625,177.372625,167.06125,239.723875,218.80825,2.203944
2040,6.1615,8.6575,6.79,6.3375,3.5425,5.9275,7.9225,8.6575,6.79,3.5425,5.9275,12.05375,8.737613,1.011402,0.907096,0.979647,39570.075,24286.55,6802.53375,762.40475,44311.9375,39228.6375,39545.6625,30495.1625,6476.88375,19.143745,0.96447,0.770849,38153.1375,129.651125,61.607175,67.096425,63.957425,65.49555,42.343738,44.93055,0.25427,2.694983,-1.424164,1.226284,70.746263,167.6125,182.402875,183.09275,203.735875,69.459688,119.018625,194.796625,196.7865,192.04475,189.66375,174.6005,236.17775,219.796875,1.80818
