Iteration,Rolling Sizes CDunit,Rolling Sizes FB554,Rolling Sizes AlCon,Shift Hours AlCon,Shift Hours FB554,R-squared,Adj R-Squared,F-statistic,Prob (F-statistic)
3728,10,10,16,-8,8,0.795869761,0.795620714,3195.662411,0
3633,10,10,6,-2,2,0.795869345,0.795620297,3195.654231,0
3634,10,10,6,-2,4,0.795869345,0.795620297,3195.654231,0
3635,10,10,6,-2,6,0.795869345,0.795620297,3195.654231,0
3636,10,10,6,-2,8,0.795869345,0.795620297,3195.654231,0
3637,10,10,6,-4,2,0.795869345,0.795620297,3195.654231,0
3638,10,10,6,-4,4,0.795869345,0.795620297,3195.654231,0
3639,10,10,6,-4,6,0.795869345,0.795620297,3195.654231,0
3640,10,10,6,-4,8,0.795869345,0.795620297,3195.654231,0
3641,10,10,6,-6,2,0.795869345,0.795620297,3195.654231,0
3642,10,10,6,-6,4,0.795869345,0.795620297,3195.654231,0
3643,10,10,6,-6,6,0.795869345,0.795620297,3195.654231,0
3644,10,10,6,-6,8,0.795869345,0.795620297,3195.654231,0
3645,10,10,6,-8,2,0.795869345,0.795620297,3195.654231,0
3646,10,10,6,-8,4,0.795869345,0.795620297,3195.654231,0
3647,10,10,6,-8,6,0.795869345,0.795620297,3195.654231,0
3648,10,10,6,-8,8,0.795869345,0.795620297,3195.654231,0
3729,10,10,18,-2,2,0.795868674,0.795619625,3195.641032,0
3730,10,10,18,-2,4,0.795868674,0.795619625,3195.641032,0
3731,10,10,18,-2,6,0.795868674,0.795619625,3195.641032,0
3732,10,10,18,-2,8,0.795868674,0.795619625,3195.641032,0
3733,10,10,18,-4,2,0.795868674,0.795619625,3195.641032,0
3734,10,10,18,-4,4,0.795868674,0.795619625,3195.641032,0
3735,10,10,18,-4,6,0.795868674,0.795619625,3195.641032,0
3736,10,10,18,-4,8,0.795868674,0.795619625,3195.641032,0
3737,10,10,18,-6,2,0.795868674,0.795619625,3195.641032,0
3738,10,10,18,-6,4,0.795868674,0.795619625,3195.641032,0
3739,10,10,18,-6,6,0.795868674,0.795619625,3195.641032,0
3740,10,10,18,-6,8,0.795868674,0.795619625,3195.641032,0
3741,10,10,18,-8,2,0.795868674,0.795619625,3195.641032,0
3742,10,10,18,-8,4,0.795868674,0.795619625,3195.641032,0
3743,10,10,18,-8,6,0.795868674,0.795619625,3195.641032,0
3744,10,10,18,-8,8,0.795868674,0.795619625,3195.641032,0
3617,10,10,4,-2,2,0.795868159,0.79561911,3195.630902,0
3618,10,10,4,-2,4,0.795868159,0.79561911,3195.630902,0
3619,10,10,4,-2,6,0.795868159,0.79561911,3195.630902,0
3620,10,10,4,-2,8,0.795868159,0.79561911,3195.630902,0
3621,10,10,4,-4,2,0.795868159,0.79561911,3195.630902,0
3622,10,10,4,-4,4,0.795868159,0.79561911,3195.630902,0
3623,10,10,4,-4,6,0.795868159,0.79561911,3195.630902,0
3624,10,10,4,-4,8,0.795868159,0.79561911,3195.630902,0
3625,10,10,4,-6,2,0.795868159,0.79561911,3195.630902,0
3626,10,10,4,-6,4,0.795868159,0.79561911,3195.630902,0
3627,10,10,4,-6,6,0.795868159,0.79561911,3195.630902,0
3628,10,10,4,-6,8,0.795868159,0.79561911,3195.630902,0
3629,10,10,4,-8,2,0.795868159,0.79561911,3195.630902,0
3630,10,10,4,-8,4,0.795868159,0.79561911,3195.630902,0
3631,10,10,4,-8,6,0.795868159,0.79561911,3195.630902,0
3632,10,10,4,-8,8,0.795868159,0.79561911,3195.630902,0
3745,10,10,20,-2,2,0.795867568,0.795618519,3195.619292,0
3746,10,10,20,-2,4,0.795867568,0.795618519,3195.619292,0
3747,10,10,20,-2,6,0.795867568,0.795618519,3195.619292,0
3748,10,10,20,-2,8,0.795867568,0.795618519,3195.619292,0
3749,10,10,20,-4,2,0.795867568,0.795618519,3195.619292,0
3750,10,10,20,-4,4,0.795867568,0.795618519,3195.619292,0
3751,10,10,20,-4,6,0.795867568,0.795618519,3195.619292,0
3752,10,10,20,-4,8,0.795867568,0.795618519,3195.619292,0
3753,10,10,20,-6,2,0.795867568,0.795618519,3195.619292,0
3754,10,10,20,-6,4,0.795867568,0.795618519,3195.619292,0
3755,10,10,20,-6,6,0.795867568,0.795618519,3195.619292,0
3756,10,10,20,-6,8,0.795867568,0.795618519,3195.619292,0
3757,10,10,20,-8,2,0.795867568,0.795618519,3195.619292,0
3758,10,10,20,-8,4,0.795867568,0.795618519,3195.619292,0
3759,10,10,20,-8,6,0.795867568,0.795618519,3195.619292,0
3760,10,10,20,-8,8,0.795867568,0.795618519,3195.619292,0
3601,10,10,2,-2,2,0.795866878,0.795617828,3195.605712,0
3602,10,10,2,-2,4,0.795866878,0.795617828,3195.605712,0
3603,10,10,2,-2,6,0.795866878,0.795617828,3195.605712,0
3604,10,10,2,-2,8,0.795866878,0.795617828,3195.605712,0
3605,10,10,2,-4,2,0.795866878,0.795617828,3195.605712,0
3606,10,10,2,-4,4,0.795866878,0.795617828,3195.605712,0
3607,10,10,2,-4,6,0.795866878,0.795617828,3195.605712,0
3608,10,10,2,-4,8,0.795866878,0.795617828,3195.605712,0
3609,10,10,2,-6,2,0.795866878,0.795617828,3195.605712,0
3610,10,10,2,-6,4,0.795866878,0.795617828,3195.605712,0
3611,10,10,2,-6,6,0.795866878,0.795617828,3195.605712,0
3612,10,10,2,-6,8,0.795866878,0.795617828,3195.605712,0
3613,10,10,2,-8,2,0.795866878,0.795617828,3195.605712,0
3614,10,10,2,-8,4,0.795866878,0.795617828,3195.605712,0
3615,10,10,2,-8,6,0.795866878,0.795617828,3195.605712,0
3616,10,10,2,-8,8,0.795866878,0.795617828,3195.605712,0
3761,10,10,22,-2,2,0.795866751,0.7956177,3195.603211,0
3762,10,10,22,-2,4,0.795866751,0.7956177,3195.603211,0
3763,10,10,22,-2,6,0.795866751,0.7956177,3195.603211,0
3764,10,10,22,-2,8,0.795866751,0.7956177,3195.603211,0
3765,10,10,22,-4,2,0.795866751,0.7956177,3195.603211,0
3766,10,10,22,-4,4,0.795866751,0.7956177,3195.603211,0
3767,10,10,22,-4,6,0.795866751,0.7956177,3195.603211,0
3768,10,10,22,-4,8,0.795866751,0.7956177,3195.603211,0
3769,10,10,22,-6,2,0.795866751,0.7956177,3195.603211,0
3770,10,10,22,-6,4,0.795866751,0.7956177,3195.603211,0
3771,10,10,22,-6,6,0.795866751,0.7956177,3195.603211,0
3772,10,10,22,-6,8,0.795866751,0.7956177,3195.603211,0
3773,10,10,22,-8,2,0.795866751,0.7956177,3195.603211,0
3774,10,10,22,-8,4,0.795866751,0.7956177,3195.603211,0
3775,10,10,22,-8,6,0.795866751,0.7956177,3195.603211,0
3776,10,10,22,-8,8,0.795866751,0.7956177,3195.603211,0
3825,10,10,30,-2,2,0.795866614,0.795617563,3195.600512,0
3826,10,10,30,-2,4,0.795866614,0.795617563,3195.600512,0
3827,10,10,30,-2,6,0.795866614,0.795617563,3195.600512,0
3828,10,10,30,-2,8,0.795866614,0.795617563,3195.600512,0
3829,10,10,30,-4,2,0.795866614,0.795617563,3195.600512,0
3830,10,10,30,-4,4,0.795866614,0.795617563,3195.600512,0
3831,10,10,30,-4,6,0.795866614,0.795617563,3195.600512,0
3832,10,10,30,-4,8,0.795866614,0.795617563,3195.600512,0
3833,10,10,30,-6,2,0.795866614,0.795617563,3195.600512,0
3834,10,10,30,-6,4,0.795866614,0.795617563,3195.600512,0
3835,10,10,30,-6,6,0.795866614,0.795617563,3195.600512,0
3836,10,10,30,-6,8,0.795866614,0.795617563,3195.600512,0
3837,10,10,30,-8,2,0.795866614,0.795617563,3195.600512,0
3838,10,10,30,-8,4,0.795866614,0.795617563,3195.600512,0
3839,10,10,30,-8,6,0.795866614,0.795617563,3195.600512,0
3840,10,10,30,-8,8,0.795866614,0.795617563,3195.600512,0
3777,10,10,24,-2,2,0.795866232,0.795617181,3195.59301,0
3778,10,10,24,-2,4,0.795866232,0.795617181,3195.59301,0
3779,10,10,24,-2,6,0.795866232,0.795617181,3195.59301,0
3780,10,10,24,-2,8,0.795866232,0.795617181,3195.59301,0
3781,10,10,24,-4,2,0.795866232,0.795617181,3195.59301,0
3782,10,10,24,-4,4,0.795866232,0.795617181,3195.59301,0
3783,10,10,24,-4,6,0.795866232,0.795617181,3195.59301,0
3784,10,10,24,-4,8,0.795866232,0.795617181,3195.59301,0
3785,10,10,24,-6,2,0.795866232,0.795617181,3195.59301,0
3786,10,10,24,-6,4,0.795866232,0.795617181,3195.59301,0
3787,10,10,24,-6,6,0.795866232,0.795617181,3195.59301,0
3788,10,10,24,-6,8,0.795866232,0.795617181,3195.59301,0
3789,10,10,24,-8,2,0.795866232,0.795617181,3195.59301,0
3790,10,10,24,-8,4,0.795866232,0.795617181,3195.59301,0
3791,10,10,24,-8,6,0.795866232,0.795617181,3195.59301,0
3792,10,10,24,-8,8,0.795866232,0.795617181,3195.59301,0
3809,10,10,28,-2,2,0.795866169,0.795617118,3195.591767,0
3810,10,10,28,-2,4,0.795866169,0.795617118,3195.591767,0
3811,10,10,28,-2,6,0.795866169,0.795617118,3195.591767,0
3812,10,10,28,-2,8,0.795866169,0.795617118,3195.591767,0
3813,10,10,28,-4,2,0.795866169,0.795617118,3195.591767,0
3814,10,10,28,-4,4,0.795866169,0.795617118,3195.591767,0
3815,10,10,28,-4,6,0.795866169,0.795617118,3195.591767,0
3816,10,10,28,-4,8,0.795866169,0.795617118,3195.591767,0
3817,10,10,28,-6,2,0.795866169,0.795617118,3195.591767,0
