Date,4250 SAO Al
9/25/2022 17:00,6.309
9/24/2022 17:00,5.368
9/23/2022 17:00,6.316
9/22/2022 17:00,5.505
9/20/2022 17:00,6.232
9/18/2022 17:00,6.252
9/14/2022 17:00,6.377
9/13/2022 18:38,6.426
9/12/2022 17:00,6.393
9/11/2022 17:00,6.459
9/10/2022 17:00,6.351
9/9/2022 17:00,6.189
9/7/2022 17:00,6.039
9/6/2022 17:00,5.959
9/5/2022 17:00,5.928
9/4/2022 17:00,5.933
9/3/2022 17:00,5.985
9/2/2022 17:00,5.94
8/31/2022 18:59,6.067
8/30/2022 17:00,6.072
8/29/2022 17:00,5.971
8/28/2022 17:00,5.974
8/27/2022 17:00,5.948
8/26/2022 17:30,5.926
8/25/2022 17:00,6.162
8/22/2022 17:00,6.03
8/21/2022 17:00,6.015
8/20/2022 17:00,5.767
8/19/2022 17:00,5.755
8/18/2022 16:50,5.997
8/17/2022 17:00,4.78
8/16/2022 17:00,5.926
8/15/2022 17:00,3.966
8/14/2022 17:00,4.13
8/13/2022 17:00,5.601
8/12/2022 17:00,3.769
8/11/2022 17:00,3.577
8/10/2022 17:00,4.609
8/9/2022 17:00,4.635
8/8/2022 17:00,5.986
8/7/2022 17:00,4.248
8/5/2022 17:00,5.373
8/4/2022 17:00,5.822
8/3/2022 17:00,6.02
8/2/2022 17:00,6.334
8/1/2022 17:00,7.75
7/31/2022 17:00,6.093
7/30/2022 17:00,6.062
7/29/2022 17:00,6.008
7/28/2022 17:00,5.765
7/26/2022 17:00,6.746
7/25/2022 17:00,4.914
7/23/2022 17:00,5.402
7/22/2022 17:00,4.938
7/21/2022 17:00,5.347
7/20/2022 17:00,5.818
7/19/2022 17:00,5.994
7/18/2022 17:00,6.044
7/17/2022 17:00,5.554
7/15/2022 17:00,6.157
7/12/2022 17:00,5.972
7/11/2022 17:00,5.897
7/10/2022 17:00,6.12
7/9/2022 17:00,6.132
7/8/2022 17:00,6.247
7/7/2022 17:00,6.233
7/6/2022 17:00,6.266
7/5/2022 17:00,5.85
7/4/2022 17:00,5.419
7/2/2022 17:00,5.196
7/1/2022 17:00,6.091
6/30/2022 17:00,6.134
6/29/2022 17:00,6.227
6/28/2022 17:00,6.119
6/27/2022 17:00,5.843
6/26/2022 17:00,5.525
6/25/2022 17:00,6.167
6/24/2022 17:00,6.066
6/23/2022 17:00,6.237
6/22/2022 17:00,6.053
6/21/2022 17:00,5.99
6/20/2022 17:00,3.587
6/19/2022 17:00,6.132
6/18/2022 17:31,6.174
6/17/2022 17:00,6.161
6/16/2022 17:00,6.255
6/15/2022 17:00,5.585
6/14/2022 17:00,4.865
6/13/2022 17:00,6.079
6/12/2022 17:00,6.173
6/11/2022 17:00,5.989
6/10/2022 17:00,6.215
6/9/2022 17:00,6.179
6/8/2022 17:00,6.493
6/7/2022 17:00,6.041
6/6/2022 17:00,6.341
6/5/2022 17:00,6.542
6/4/2022 17:00,6.497
6/3/2022 17:00,6.304
6/2/2022 17:00,6.107
6/1/2022 17:00,6.168
5/31/2022 17:00,5.88
5/30/2022 17:00,5.915
5/29/2022 17:00,5.829
5/28/2022 17:00,5.596
5/27/2022 19:21,5.756
5/25/2022 17:00,5.684
5/24/2022 17:00,6.026
5/23/2022 17:00,5.978
5/22/2022 17:00,5.919
5/21/2022 17:00,6.026
5/20/2022 17:00,6.006
5/19/2022 17:00,5.855
5/18/2022 17:00,5.844
5/17/2022 17:00,5.845
5/16/2022 17:00,5.994
5/15/2022 17:00,5.946
5/14/2022 17:00,5.96
5/13/2022 17:00,5.943
5/12/2022 17:00,5.812
5/11/2022 17:00,5.915
5/10/2022 17:00,5.936
5/9/2022 17:00,6.07
5/8/2022 17:00,5.46
5/7/2022 17:00,6.153
5/6/2022 17:00,5.817
5/5/2022 17:00,6.013
5/4/2022 17:00,5.942
5/3/2022 17:00,5.971
5/2/2022 17:00,5.843
5/1/2022 17:00,5.868
4/30/2022 17:00,5.921
4/29/2022 17:00,5.92
4/28/2022 17:00,6.001
4/27/2022 17:00,6.069
4/26/2022 17:00,5.954
4/25/2022 17:00,4.304
4/24/2022 17:00,6.074
4/23/2022 17:00,6.109
4/22/2022 17:00,6.106
4/21/2022 17:00,4.339
4/20/2022 17:00,6.257
4/19/2022 17:00,5.198
4/18/2022 17:00,6.314
4/17/2022 17:00,6.347
4/16/2022 17:00,6.233
4/15/2022 17:00,6.421
4/14/2022 17:00,6.352
4/13/2022 17:00,6.395
4/12/2022 17:00,6.03
4/11/2022 17:00,6.149
4/10/2022 17:00,6.371
4/9/2022 17:00,6.303
4/8/2022 17:00,6.227
4/7/2022 17:00,5.968
4/6/2022 21:25,5.932
4/5/2022 17:00,6.137
4/4/2022 17:00,6.176
4/3/2022 17:00,6.154
4/2/2022 17:00,6.123
4/1/2022 17:00,6.449
3/30/2022 17:00,6.274
3/29/2022 17:00,5.877
3/28/2022 17:00,6.586
3/28/2022 17:00,6.586
3/27/2022 17:00,6.081
3/27/2022 17:00,6.081
3/27/2022 17:00,6.081
3/26/2022 17:00,6.098
3/25/2022 17:00,5.984
3/24/2022 17:00,5.997
3/23/2022 17:00,5.917
3/22/2022 17:00,6.531
3/21/2022 17:00,6.184
3/20/2022 17:00,6.189
3/19/2022 17:00,6.245
3/18/2022 17:00,6.193
3/17/2022 17:00,5.992
3/16/2022 17:00,5.864
3/15/2022 17:00,5.777
3/14/2022 17:00,4.31
3/13/2022 17:00,5.344
3/12/2022 17:00,4.656
3/11/2022 17:00,5.931
3/10/2022 17:00,6.056
3/9/2022 17:00,6.117
3/8/2022 17:00,6.133
3/7/2022 17:00,5.972
3/6/2022 17:00,6.026
3/5/2022 17:00,6.01
3/4/2022 17:00,6.074
3/3/2022 17:00,6.189
3/2/2022 17:00,6.076
3/1/2022 17:00,6.086
2/28/2022 17:00,4.716
2/27/2022 17:00,6.069
2/26/2022 17:00,6.083
2/25/2022 17:00,6.081
2/24/2022 17:00,4.84
2/23/2022 17:00,5.732
2/22/2022 17:00,3.465
2/21/2022 17:00,6.043
2/20/2022 17:00,6.039
2/19/2022 17:00,5.994
2/18/2022 17:00,5.991
2/17/2022 17:00,6.01
2/16/2022 17:00,5.969
2/15/2022 17:00,5.966
2/14/2022 17:00,6.037
2/13/2022 17:00,5.428
2/12/2022 17:00,6.266
2/11/2022 17:00,6.037
2/10/2022 17:00,6.285
2/9/2022 17:00,4.833
2/8/2022 17:00,6.262
2/7/2022 17:00,6.157
2/5/2022 17:00,6.321
2/4/2022 17:00,6.313
2/3/2022 17:00,6.225
2/2/2022 17:00,6.073
2/1/2022 17:00,5.852
1/31/2022 17:00,6.022
1/30/2022 17:00,6.051
1/29/2022 17:00,6.131
1/28/2022 17:00,6.267
1/27/2022 17:00,6.287
1/26/2022 17:00,6.286
1/25/2022 17:00,6.404
1/25/2022 8:30,6.168
1/22/2022 17:00,6.226
1/21/2022 17:00,6.214
1/20/2022 17:00,5.865
1/19/2022 17:00,5.868
1/18/2022 17:00,6.218
1/17/2022 17:00,5.278
1/16/2022 17:00,6.54
1/15/2022 17:00,5.429
1/14/2022 17:00,6.675
1/13/2022 17:00,6.657
1/12/2022 17:00,6.579
1/11/2022 17:00,6.627
1/10/2022 17:00,6.348
1/9/2022 17:00,6.18
1/8/2022 17:00,5.987
1/2/2022 17:00,4.654
12/30/2021 17:00,5.869
12/29/2021 17:00,5.879
12/28/2021 17:00,5.895
12/27/2021 17:00,5.976
12/26/2021 17:00,5.941
12/25/2021 17:00,6.025
12/24/2021 17:00,5.523
12/23/2021 17:00,5.752
12/22/2021 17:00,5.533
12/20/2021 17:00,6.074
12/19/2021 17:00,6.349
12/17/2021 17:00,6.378
12/15/2021 17:00,6.542
12/14/2021 17:00,6.625
12/13/2021 17:00,6.556
12/11/2021 17:00,6.578
12/10/2021 17:00,6.587
12/9/2021 17:00,6.406
12/6/2021 17:00,6.476
11/29/2021 17:00,6.208
11/28/2021 17:00,6.075
11/27/2021 17:00,6.308
11/26/2021 17:00,6.128
11/25/2021 17:00,6.652
11/23/2021 17:00,6.235
11/22/2021 17:00,4.144
11/21/2021 17:00,4.712
11/20/2021 17:00,4.523
11/18/2021 17:00,4.228
11/17/2021 17:00,5.64
11/16/2021 17:00,5.906
11/15/2021 17:00,5.879
11/14/2021 17:00,6.046
11/13/2021 17:00,6.005
11/12/2021 17:00,6.084
11/11/2021 17:00,6.073
11/10/2021 17:00,6.105
11/8/2021 17:00,5.424
11/7/2021 17:00,6.085
11/6/2021 17:00,5.757
11/4/2021 17:00,6.218
11/3/2021 17:00,6.183
11/2/2021 17:00,6.257
11/1/2021 17:00,6.306
10/31/2021 17:00,6.134
