Range,425 %Al,Butanol,Decanol,FC42428,FC52018,FC55003,FC55009,FC55102,FC55152,FC55552,FC55555,FC55569,FC55576,FFC55553,FFC55555,FI55580,FYC55553,LC52572,LC55553,LC55555,LC55557,LC55568,LC90366,LC90368,PI55004,PI55020,PI55560,TC52015,TC55552,TC55553,TC55555,TC55566,TI40050,TI55013,TI55014,TI55015,TI55016,TI55017,TI55021,TI55023,TI55565,TI90366,TI90368,AYC55580,DI52018,DI55102,DI55152,DI55580,TI52014,VI52558B
Min,0,0,0,0,5000,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,-10,-4.7,0,100,100,100,0,0,0,0,0,0,0,0,0,150,0,0,0.5,0.8,0.75,0,0,0
Max,10,100,10,50000,50000,40000,3000,70000,70000,52000,70000,12800,1500,10,1,70000,60000,100,100,100,100,100,100,100,20.3,20.3,10.3,250,300,275,300,300,125,300,300,300,300,300,350,350,300,200,200,20,0.5,1.2,1.3,100,200,11
