features,MSE,MAE,R^2,Adjusted R^2,RMSE,,,,,,,
"('AYC55580', 'DI55152', 'FC42428', 'FC55569', 'FFC55555', 'TI55017')",2.017158536,1.079920315,0.302421218,0.302101789,1.420267065,,,,,,,
"('425 %Al', 'AYC55580', 'FC42428', 'FFC55555', 'TC55552', 'TI55017', 'TI55021', 'TI55023')",2.017225887,1.077499958,0.302397927,0.301971943,1.420290775,,,,,,,
"('425 %Al', 'AYC55580', 'FC42428', 'FC55576', 'FFC55555', 'TI55017', 'TI55021', 'TI55023')",2.017226348,1.077699804,0.302397767,0.301971783,1.420290938,,,,,,,
"('AYC55580', 'FC42428', 'FC55569', 'FC55576', 'FFC55555', 'TC55552', 'TI55017', 'TI55021')",2.017253843,1.076511111,0.302388258,0.301962269,1.420300617,,,,,,,
"('AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FC55569', 'FFC55553', 'TI55017')",2.017317404,1.077549942,0.302366278,0.301993553,1.420322993,,,,,,,
"('AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FC55569', 'FFC55553', 'TI55017', 'TI55023')",2.017319515,1.077550414,0.302365548,0.301939544,1.420323736,,,,,,,
"('AYC55580', 'DI55102', 'FC42428', 'FC55569', 'TC55552', 'TI55017', 'TI55021', 'TI55023')",2.017339803,1.07636829,0.302358532,0.301932524,1.420330878,,,,,,,
"('425 %Al', 'AYC55580', 'FC42428', 'FC55569', 'FC55576', 'FFC55553', 'TC55552', 'TI55017', 'TI55021')",2.017358083,1.078466956,0.30235221,0.30187291,1.420337313,,,,,,,
"('AYC55580', 'DI55152', 'FC42428', 'FC55569', 'FFC55555', 'TI55017', 'TI55023')",2.017394996,1.079724981,0.302339445,0.301966706,1.420350307,,,,,,,
"('AYC55580', 'FC42428', 'FFC55555', 'TC55552', 'TI55017', 'TI55021', 'TI55023')",2.017410225,1.077699602,0.302334178,0.301961436,1.420355669,,,,,,,
"('AYC55580', 'DI55102', 'FC42428', 'FC55569', 'FFC55553', 'TC55552', 'TI55017')",2.017414911,1.0765011,0.302332558,0.301959815,1.420357318,,,,,,,
"('AYC55580', 'FC42428', 'FC55569', 'FFC55555', 'TC55552', 'TI55017', 'TI55021')",2.017418541,1.076756695,0.302331302,0.301958559,1.420358596,,,,,,,
"('425 %Al', 'AYC55580', 'DI55152', 'FC42428', 'FC55569', 'FC55576', 'FFC55553', 'TI55017', 'TI55021')",2.017437158,1.079773802,0.302324864,0.301845545,1.42036515,,,,,,,
"('AYC55580', 'DI55102', 'FC42428', 'FC55569', 'FC55576', 'TC55552', 'TI55017', 'TI55021')",2.017444502,1.076017715,0.302322324,0.301896294,1.420367735,,,,,,,
"('AYC55580', 'DI55152', 'FC42428', 'FC55569', 'FC55576', 'FFC55555', 'TI55017')",2.017453667,1.079895968,0.302319155,0.301946405,1.420370961,,,,,,,
"('AYC55580', 'DI55102', 'FC42428', 'FC55569', 'FFC55553', 'TC55552', 'TI55017', 'TI55023')",2.017477134,1.076509946,0.30231104,0.301885003,1.420379222,,,,,,,
"('AYC55580', 'FC42428', 'FC55576', 'FFC55555', 'TI55017', 'TI55021', 'TI55023')",2.017479847,1.077972772,0.302310101,0.301937347,1.420380177,,,,,,,
"('425 %Al', 'AYC55580', 'FC42428', 'FFC55553', 'TI55017', 'TI55021', 'TI55023')",2.01748665,1.081018675,0.302307749,0.301934993,1.420382572,,,,,,,
"('AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FC55569', 'FC55576', 'FFC55553', 'TI55017', 'TI55023')",2.017492602,1.077527844,0.30230569,0.301826358,1.420384667,,,,,,,
"('AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FC55569', 'FC55576', 'FFC55553', 'TI55017')",2.017496223,1.077528792,0.302304438,0.301878397,1.420385942,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'FC42428', 'FC55569', 'FC55576', 'TI55017', 'TI55021', 'TI55023')",2.017512194,1.076944849,0.302298915,0.301819578,1.420391564,,,,,,,
"('AYC55580', 'DI55102', 'FC42428', 'FC55569', 'FC55576', 'FFC55553', 'TC55552', 'TI55017')",2.017555469,1.076488335,0.30228395,0.301857896,1.420406797,,,,,,,
"('AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FC55576', 'TI55017', 'TI55021')",2.017578023,1.078353856,0.30227615,0.301903377,1.420414736,,,,,,,
"('425 %Al', 'AYC55580', 'DI55152', 'FC42428', 'FC55576', 'FFC55553', 'TI55017', 'TI55021', 'TI55023')",2.017589341,1.079690763,0.302272236,0.301792881,1.42041872,,,,,,,
"('AYC55580', 'DI55102', 'FC42428', 'FC55569', 'FC55576', 'FFC55553', 'TC55552', 'TI55017', 'TI55023')",2.017607802,1.076497514,0.302265851,0.301786492,1.420425219,,,,,,,
"('AYC55580', 'DI55102', 'FC42428', 'FC55569', 'TC55552', 'TI55017', 'TI55021')",2.017617689,1.076419431,0.302262432,0.301889652,1.420428699,,,,,,,
"('AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FC55576', 'TI55017', 'TI55021', 'TI55023')",2.017660515,1.078357622,0.302247622,0.301821547,1.420443774,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'FC42428', 'FC55569', 'FC55576', 'TI55017', 'TI55021')",2.017675582,1.076929749,0.302242412,0.301816333,1.420449078,,,,,,,
"('AYC55580', 'DI55152', 'FC42428', 'FC55569', 'FC55576', 'FFC55555', 'TI55017', 'TI55023')",2.017699096,1.079698035,0.30223428,0.301808196,1.420457354,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'FC42428', 'FC55576', 'TC55552', 'TI55017', 'TI55021', 'TI55023')",2.017703424,1.076641038,0.302232783,0.301753401,1.420458878,,,,,,,
"('AYC55580', 'DI55152', 'FC42428', 'FC55576', 'FFC55553', 'TC55552', 'TI55017', 'TI55021', 'TI55023')",2.017801577,1.078335468,0.30219884,0.301719435,1.420493427,,,,,,,
"('425 %Al', 'AYC55580', 'FC42428', 'FC55576', 'FFC55555', 'TC55552', 'TI55017', 'TI55021')",2.017826045,1.07667299,0.302190378,0.301764267,1.42050204,,,,,,,
"('AYC55580', 'DI55152', 'FC42428', 'FFC55553', 'TC55552', 'TI55017', 'TI55021', 'TI55023')",2.017873207,1.079220449,0.302174068,0.301747948,1.42051864,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'FC42428', 'FC55576', 'TC55552', 'TI55017', 'TI55021')",2.017879872,1.076709211,0.302171764,0.301745642,1.420520986,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'DI55152', 'FC42428', 'TI55017', 'TI55021')",2.017886384,1.080035016,0.302169512,0.301796682,1.420523278,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'FC42428', 'FFC55553', 'TC55552', 'TI55017', 'TI55023')",2.017891841,1.078403147,0.302167625,0.3017415,1.420525199,,,,,,,
"('AYC55580', 'DI55102', 'DI55152', 'FC42428', 'TC55552', 'TI55017', 'TI55021')",2.017903299,1.078639111,0.302163662,0.30179083,1.420529232,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FFC55553', 'TC55552', 'TI55017', 'TI55023')",2.017924187,1.078395855,0.302156439,0.301677004,1.420536584,,,,,,,
"('AYC55580', 'DI55102', 'DI55152', 'FC42428', 'TC55552', 'TI55017', 'TI55021', 'TI55023')",2.017942828,1.078592454,0.302149992,0.301723857,1.420543145,,,,,,,
"('425 %Al', 'AYC55580', 'DI55152', 'FC42428', 'FFC55553', 'FFC55555', 'TC55552', 'TI55017')",2.017961514,1.079901702,0.30214353,0.301717391,1.420549723,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'DI55152', 'FC42428', 'TI55017', 'TI55021', 'TI55023')",2.017976897,1.080072594,0.30213821,0.301712068,1.420555137,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'FC42428', 'FC55569', 'TI55017', 'TI55021', 'TI55023')",2.017987589,1.077611504,0.302134513,0.301708368,1.4205589,,,,,,,
"('425 %Al', 'AYC55580', 'DI55152', 'FC42428', 'FFC55553', 'TI55017', 'TI55021', 'TI55023')",2.018020448,1.080845012,0.302123149,0.301696997,1.420570466,,,,,,,
"('425 %Al', 'AYC55580', 'DI55152', 'FC42428', 'FFC55553', 'FFC55555', 'TC55552', 'TI55017', 'TI55023')",2.018070607,1.079790593,0.302105803,0.301626334,1.42058812,,,,,,,
"('425 %Al', 'AYC55580', 'FC42428', 'FC55569', 'FC55576', 'FFC55555', 'TI55017', 'TI55021')",2.01807602,1.077486989,0.302103931,0.301677768,1.420590025,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'FC42428', 'FFC55553', 'TC55552', 'TI55017')",2.018085521,1.078467819,0.302100646,0.301727779,1.420593369,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'FC42428', 'FC55569', 'TI55017', 'TI55021')",2.018117204,1.077578992,0.302089689,0.301716817,1.420604521,,,,,,,
"('425 %Al', 'AYC55580', 'FC42428', 'FC55569', 'FFC55553', 'TI55017', 'TI55021')",2.018117605,1.079893979,0.30208955,0.301716678,1.420604662,,,,,,,
"('AYC55580', 'DI55102', 'FC42428', 'FC55569', 'FFC55553', 'TI55017')",2.018118838,1.077506865,0.302089124,0.301769543,1.420605096,,,,,,,
"('AYC55580', 'DI55152', 'FC42428', 'FC55569', 'FFC55553', 'TC55552', 'TI55017', 'TI55021')",2.01811886,1.079210104,0.302089116,0.301662944,1.420605104,,,,,,,
"('AYC55580', 'DI55102', 'FC42428', 'FC55569', 'FFC55553', 'TI55017', 'TI55023')",2.01814384,1.077513964,0.302080478,0.3017076,1.420613896,,,,,,,
"('AYC55580', 'FC42428', 'FC55576', 'FFC55553', 'TI55017', 'TI55021', 'TI55023')",2.018166728,1.080107434,0.302072563,0.301699681,1.420621951,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FFC55553', 'TC55552', 'TI55017')",2.018172904,1.078445323,0.302070427,0.301644243,1.420624125,,,,,,,
"('425 %Al', 'AYC55580', 'DI55152', 'FC42428', 'FC55569', 'TC55552', 'TI55017', 'TI55021', 'TI55023')",2.01818594,1.079050706,0.302065919,0.301586422,1.420628713,,,,,,,
"('AYC55580', 'DI55102', 'FC42428', 'FC55569', 'FC55576', 'TI55017', 'TI55021', 'TI55023')",2.018218044,1.077118071,0.302054816,0.301628623,1.420640012,,,,,,,
"('AYC55580', 'FC42428', 'FC55576', 'FFC55555', 'TC55552', 'TI55017', 'TI55021')",2.018271098,1.077097967,0.302036469,0.301663568,1.420658685,,,,,,,
"('425 %Al', 'AYC55580', 'DI55152', 'FC42428', 'FC55576', 'FFC55553', 'FFC55555', 'TC55552', 'TI55017')",2.018282786,1.079517616,0.302032427,0.301552907,1.420662798,,,,,,,
"('AYC55580', 'DI55102', 'FC42428', 'FC55569', 'FC55576', 'FFC55553', 'TI55017')",2.01830579,1.077482428,0.302024472,0.301651565,1.420670894,,,,,,,
"('AYC55580', 'DI55102', 'FC42428', 'FC55569', 'FC55576', 'FFC55553', 'TI55017', 'TI55023')",2.01832369,1.077488705,0.302018281,0.301592066,1.420677194,,,,,,,
"('AYC55580', 'FC42428', 'FFC55553', 'TI55017', 'TI55021', 'TI55023')",2.018344809,1.081229394,0.302010978,0.301691362,1.420684627,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FC55576', 'FFC55553', 'TC55552', 'TI55017', 'TI55023')",2.01836765,1.077852327,0.302003079,0.301470216,1.420692666,,,,,,,
"('425 %Al', 'AYC55580', 'DI55152', 'FC42428', 'FC55569', 'FC55576', 'TC55552', 'TI55017', 'TI55021', 'TI55023')",2.018382831,1.078627407,0.301997829,0.301464962,1.420698008,,,,,,,
"('AYC55580', 'DI55102', 'FC42428', 'FC55576', 'TC55552', 'TI55017', 'TI55021', 'TI55023')",2.018397041,1.076931788,0.301992915,0.301566684,1.420703009,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'FC42428', 'FC55569', 'FFC55555', 'TC55552', 'TI55017')",2.018411123,1.07526971,0.301988045,0.301561811,1.420707965,,,,,,,
"('AYC55580', 'DI55102', 'FC42428', 'FC55569', 'FC55576', 'TI55017', 'TI55021')",2.018430103,1.077115127,0.301981481,0.301608551,1.420714645,,,,,,,
"('425 %Al', 'AYC55580', 'FC42428', 'FC55569', 'FC55576', 'FFC55553', 'TI55017', 'TI55021')",2.018430644,1.079664752,0.301981294,0.301555056,1.420714835,,,,,,,
"('425 %Al', 'AYC55580', 'DI55152', 'FC42428', 'FC55576', 'FFC55553', 'FFC55555', 'TC55552', 'TI55017', 'TI55023')",2.01843205,1.079384952,0.301980808,0.301447928,1.42071533,,,,,,,
"('425 %Al', 'AYC55580', 'FC42428', 'FC55569', 'FFC55553', 'FFC55555', 'TC55552', 'TI55017', 'TI55023')",2.018455934,1.077205005,0.301972548,0.301492988,1.420723736,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'FC42428', 'FC55576', 'FFC55553', 'TC55552', 'TI55017', 'TI55023')",2.018469433,1.077828812,0.30196788,0.301488316,1.420728487,,,,,,,
"('425 %Al', 'AYC55580', 'FC42428', 'FC55569', 'FFC55555', 'TI55017', 'TI55021')",2.018478269,1.077939124,0.301964825,0.301591886,1.420731596,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'FC42428', 'FC55569', 'FFC55555', 'TC55552', 'TI55017', 'TI55023')",2.018497031,1.075288432,0.301958336,0.301478766,1.420738199,,,,,,,
"('AYC55580', 'FC42428', 'FC55569', 'FC55576', 'FFC55555', 'TI55017', 'TI55021')",2.018512779,1.077797111,0.30195289,0.301579945,1.420743742,,,,,,,
"('AYC55580', 'FC42428', 'FC55569', 'FFC55553', 'TC55552', 'TI55017', 'TI55021')",2.018522631,1.079137808,0.301949483,0.301576536,1.420747209,,,,,,,
"('AYC55580', 'DI55152', 'FC42428', 'FC55569', 'FC55576', 'FFC55553', 'TC55552', 'TI55017', 'TI55021')",2.018524763,1.079085652,0.301948746,0.301469169,1.420747959,,,,,,,
"('AYC55580', 'DI55102', 'FC42428', 'FC55569', 'TI55017', 'TI55021', 'TI55023')",2.01858223,1.077701829,0.301928872,0.301555914,1.420768183,,,,,,,
"('AYC55580', 'DI55102', 'FC42428', 'FC55576', 'TC55552', 'TI55017', 'TI55021')",2.018620915,1.07702208,0.301915494,0.301542529,1.420781797,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FFC55553', 'TI55017', 'TI55023')",2.018622455,1.07975159,0.301914962,0.301488683,1.420782339,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FC55576', 'FFC55553', 'TC55552', 'TI55017')",2.018625541,1.077895433,0.301913895,0.301434294,1.420783425,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'FC42428', 'FC55576', 'FFC55553', 'TC55552', 'TI55017')",2.018664612,1.07788493,0.301900383,0.301474095,1.420797175,,,,,,,
"('425 %Al', 'AYC55580', 'FC42428', 'FC55569', 'FC55576', 'FFC55553', 'FFC55555', 'TC55552', 'TI55017', 'TI55023')",2.018692061,1.077197839,0.301890891,0.301357942,1.420806834,,,,,,,
"('AYC55580', 'DI55102', 'DI55152', 'FC42428', 'TI55017', 'TI55021')",2.018706619,1.080090489,0.301885856,0.301566182,1.420811958,,,,,,,
"('AYC55580', 'DI55102', 'FC42428', 'FC55569', 'TI55017', 'TI55021')",2.018756669,1.077660875,0.301868548,0.301548866,1.420829571,,,,,,,
"('AYC55580', 'DI55102', 'DI55152', 'FC42428', 'TI55017', 'TI55021', 'TI55023')",2.018773538,1.080126393,0.301862714,0.30148972,1.420835507,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'FC42428', 'FC55569', 'FC55576', 'FFC55555', 'TC55552', 'TI55017')",2.018783471,1.075174689,0.301859279,0.30137964,1.420839002,,,,,,,
"('AYC55580', 'DI55152', 'FC42428', 'FC55576', 'FFC55553', 'TI55017', 'TI55021', 'TI55023')",2.018788157,1.079878411,0.301857658,0.301431344,1.420840651,,,,,,,
"('AYC55580', 'DI55152', 'FC42428', 'FC55569', 'FFC55553', 'TI55017', 'TI55021')",2.018792685,1.080365343,0.301856093,0.301483095,1.420842245,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'FC42428', 'FFC55553', 'TI55017', 'TI55023')",2.018824405,1.079726628,0.301845123,0.30147212,1.420853407,,,,,,,
"('AYC55580', 'FC42428', 'FC55569', 'FFC55555', 'TI55017', 'TI55021')",2.018832199,1.078189823,0.301842428,0.301522734,1.42085615,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'FC42428', 'FC55569', 'FC55576', 'FFC55555', 'TC55552', 'TI55017', 'TI55023')",2.018844575,1.075183335,0.301838148,0.301305159,1.420860505,,,,,,,
"('425 %Al', 'AYC55580', 'DI55152', 'FC42428', 'FFC55553', 'FFC55555', 'TI55017')",2.018850533,1.081512806,0.301836087,0.30146308,1.420862602,,,,,,,
"('AYC55580', 'FC42428', 'FC55569', 'FC55576', 'FFC55553', 'TC55552', 'TI55017', 'TI55021')",2.018867527,1.07901839,0.30183021,0.30140388,1.420868582,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'FC42428', 'FC55576', 'TI55017', 'TI55021', 'TI55023')",2.018952275,1.078017089,0.301800903,0.301374554,1.420898404,,,,,,,
"('AYC55580', 'DI55152', 'FC42428', 'FFC55553', 'TI55017', 'TI55021', 'TI55023')",2.018972616,1.080997951,0.301793868,0.301420838,1.420905562,,,,,,,
"('425 %Al', 'AYC55580', 'FC42428', 'FC55569', 'FFC55553', 'FFC55555', 'TC55552', 'TI55017')",2.018986145,1.077500021,0.30178919,0.301362834,1.420910323,,,,,,,
"('425 %Al', 'AYC55580', 'FC42428', 'FFC55555', 'TC55552', 'TI55017', 'TI55021')",2.018993855,1.077795618,0.301786523,0.301413489,1.420913036,,,,,,,
"('425 %Al', 'AYC55580', 'DI55152', 'FC42428', 'FFC55553', 'FFC55555', 'TI55017', 'TI55023')",2.018999737,1.081507038,0.301784489,0.30135813,1.420915106,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FFC55553', 'TI55017')",2.019001575,1.079887014,0.301783854,0.301410818,1.420915752,,,,,,,
"('425 %Al', 'AYC55580', 'FC42428', 'FC55576', 'FFC55553', 'TC55552', 'TI55017', 'TI55021')",2.019015141,1.0793229,0.301779162,0.3013528,1.420920526,,,,,,,
"('425 %Al', 'AYC55580', 'FC42428', 'FFC55553', 'TC55552', 'TI55017', 'TI55021')",2.019024369,1.080149836,0.301775971,0.301402931,1.420923773,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FC55576', 'FFC55553', 'TI55017', 'TI55023')",2.019040566,1.079071554,0.30177037,0.30129067,1.420929473,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'FC42428', 'FC55576', 'TI55017', 'TI55021')",2.019045961,1.078006458,0.301768504,0.30139546,1.420931371,,,,,,,
"('425 %Al', 'AYC55580', 'DI55152', 'FC42428', 'FC55576', 'FFC55553', 'TC55552', 'TI55017', 'TI55021')",2.019074879,1.079306039,0.301758503,0.301278796,1.420941547,,,,,,,
"('AYC55580', 'DI55102', 'FC42428', 'FC55569', 'FFC55555', 'TC55552', 'TI55017')",2.019076088,1.075620906,0.301758085,0.301385036,1.420941972,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'FC42428', 'TC55552', 'TI55017', 'TI55021', 'TI55023')",2.019087143,1.07815687,0.301754262,0.301327885,1.420945862,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'FC42428', 'FFC55553', 'TI55017')",2.019115943,1.079870058,0.301744303,0.301424564,1.420955996,,,,,,,
"('425 %Al', 'AYC55580', 'DI55152', 'FC42428', 'FC55576', 'FFC55553', 'FFC55555', 'TI55017')",2.019126946,1.080977039,0.301740497,0.301314112,1.420959868,,,,,,,
"('425 %Al', 'AYC55580', 'FC42428', 'FFC55555', 'TI55017', 'TI55021', 'TI55023')",2.019154904,1.079398882,0.301730829,0.301357765,1.420969706,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FC55569', 'TC55552', 'TI55017', 'TI55023')",2.019174226,1.077994507,0.301724147,0.301244415,1.420976504,,,,,,,
"('AYC55580', 'DI55102', 'FC42428', 'FC55569', 'FFC55555', 'TC55552', 'TI55017', 'TI55023')",2.019176334,1.075636579,0.301723418,0.301297022,1.420977246,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'FC42428', 'TC55552', 'TI55017', 'TI55021')",2.019187991,1.078199052,0.301719387,0.301346317,1.420981348,,,,,,,
"('AYC55580', 'DI55152', 'FC42428', 'FFC55553', 'FFC55555', 'TC55552', 'TI55017')",2.019208165,1.080406382,0.30171241,0.301339336,1.420988446,,,,,,,
"('AYC55580', 'DI55152', 'FC42428', 'FC55569', 'FC55576', 'FFC55553', 'TI55017', 'TI55021')",2.019208426,1.080174947,0.30171232,0.301285917,1.420988538,,,,,,,
"('425 %Al', 'AYC55580', 'DI55152', 'FC42428', 'FFC55553', 'TC55552', 'TI55017', 'TI55021')",2.019219842,1.080089166,0.301708372,0.301281967,1.420992555,,,,,,,
"('425 %Al', 'AYC55580', 'DI55152', 'FC42428', 'FC55569', 'TI55017', 'TI55021', 'TI55023')",2.019247329,1.080642268,0.301698866,0.301272456,1.421002227,,,,,,,
"('425 %Al', 'AYC55580', 'FC42428', 'FC55576', 'FFC55555', 'TI55017', 'TI55021')",2.019249648,1.078133281,0.301698065,0.301324983,1.421003043,,,,,,,
"('425 %Al', 'AYC55580', 'FC42428', 'FC55569', 'FC55576', 'FFC55553', 'FFC55555', 'TC55552', 'TI55017')",2.019257254,1.077497364,0.301695434,0.301215683,1.421005719,,,,,,,
"('AYC55580', 'FC42428', 'FFC55555', 'TI55017', 'TI55021', 'TI55023')",2.019257744,1.079516394,0.301695264,0.301375503,1.421005892,,,,,,,
"('AYC55580', 'FC42428', 'FFC55555', 'TC55552', 'TI55017', 'TI55021')",2.019261146,1.078073938,0.301694088,0.301374327,1.421007089,,,,,,,
"('AYC55580', 'DI55152', 'FC42428', 'FFC55553', 'FFC55555', 'TC55552', 'TI55017', 'TI55023')",2.019267466,1.080213577,0.301691902,0.301265487,1.421009312,,,,,,,
"('425 %Al', 'AYC55580', 'DI55152', 'FC42428', 'FC55576', 'FFC55553', 'FFC55555', 'TI55017', 'TI55023')",2.019321603,1.08094575,0.301673181,0.301193414,1.421028361,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'FC42428', 'FC55576', 'FFC55553', 'TI55017', 'TI55023')",2.019372045,1.079027211,0.301655737,0.301229299,1.421046109,,,,,,,
"('425 %Al', 'AYC55580', 'DI55152', 'FC42428', 'FC55569', 'FC55576', 'TI55017', 'TI55021', 'TI55023')",2.019403617,1.08013279,0.301644818,0.301165032,1.421057218,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FC55576', 'FFC55553', 'TI55017')",2.019423529,1.079193824,0.301637932,0.301211484,1.421064224,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FC55569', 'TC55552', 'TI55017')",2.019425489,1.078031083,0.301637254,0.301210806,1.421064914,,,,,,,
"('AYC55580', 'DI55102', 'FC42428', 'FC55569', 'FC55576', 'FFC55555', 'TC55552', 'TI55017')",2.019458124,1.075585623,0.301625969,0.301199513,1.421076396,,,,,,,
"('AYC55580', 'FC42428', 'FC55569', 'FFC55553', 'TI55017', 'TI55021')",2.019477068,1.080278827,0.301619418,0.301299622,1.421083061,,,,,,,
"('AYC55580', 'DI55152', 'FC42428', 'FC55569', 'TC55552', 'TI55017', 'TI55021', 'TI55023')",2.019484019,1.079250351,0.301617014,0.301190553,1.421085507,,,,,,,
"('AYC55580', 'DI55102', 'FC42428', 'FFC55553', 'TC55552', 'TI55017', 'TI55023')",2.019491977,1.078818613,0.301614261,0.301241135,1.421088307,,,,,,,
"('AYC55580', 'DI55102', 'FC42428', 'FC55576', 'TI55017', 'TI55021', 'TI55023')",2.019531448,1.078185427,0.301600612,0.301227478,1.421102195,,,,,,,
"('AYC55580', 'DI55102', 'FC42428', 'FC55569', 'FC55576', 'FFC55555', 'TC55552', 'TI55017', 'TI55023')",2.019538436,1.075593166,0.301598195,0.301118377,1.421104653,,,,,,,
"('AYC55580', 'DI55102', 'FC42428', 'TC55552', 'TI55017', 'TI55021', 'TI55023')",2.019546149,1.078326607,0.301595528,0.301222391,1.421107367,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FC55569', 'FC55576', 'TC55552', 'TI55017', 'TI55023')",2.019551845,1.077862507,0.301593558,0.301060383,1.421109371,,,,,,,
"('AYC55580', 'FC42428', 'FC55576', 'FFC55555', 'TI55017', 'TI55021')",2.019588869,1.078477949,0.301580754,0.301260941,1.421122398,,,,,,,
"('425 %Al', 'AYC55580', 'DI55152', 'FC42428', 'FC55569', 'TC55552', 'TI55017', 'TI55021')",2.01960403,1.079890681,0.301575511,0.301149025,1.421127732,,,,,,,
"('AYC55580', 'DI55152', 'FC42428', 'FC55576', 'FFC55553', 'FFC55555', 'TC55552', 'TI55017')",2.019647177,1.080112178,0.30156059,0.301134095,1.421142912,,,,,,,
"('AYC55580', 'DI55102', 'FC42428', 'FFC55553', 'TC55552', 'TI55017')",2.019653176,1.078872688,0.301558515,0.301238692,1.421145023,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'FC42428', 'FC55576', 'FFC55553', 'TI55017')",2.019662034,1.079156714,0.301555452,0.301182294,1.421148139,,,,,,,
"('AYC55580', 'DI55102', 'FC42428', 'FC55576', 'TI55017', 'TI55021')",2.019665293,1.078188783,0.301554325,0.301234499,1.421149286,,,,,,,
"('AYC55580', 'DI55102', 'FC42428', 'TC55552', 'TI55017', 'TI55021')",2.019682301,1.078367901,0.301548443,0.301228615,1.42115527,,,,,,,
"('AYC55580', 'FC42428', 'FC55569', 'FFC55553', 'FFC55555', 'TC55552', 'TI55017', 'TI55023')",2.019715899,1.077699996,0.301536824,0.301110314,1.42116709,,,,,,,
"('AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FFC55553', 'TC55552', 'TI55017', 'TI55023')",2.01972628,1.078751075,0.301533234,0.301106722,1.421170743,,,,,,,
"('AYC55580', 'DI55152', 'FC42428', 'FC55576', 'FFC55553', 'FFC55555', 'TC55552', 'TI55017', 'TI55023')",2.019744564,1.079903044,0.301526911,0.301047044,1.421177175,,,,,,,
"('AYC55580', 'DI55152', 'FC42428', 'FC55569', 'FC55576', 'TC55552', 'TI55017', 'TI55021', 'TI55023')",2.019754871,1.078883559,0.301523347,0.301043477,1.421180802,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FC55569', 'TI55017', 'TI55023')",2.019809053,1.079168229,0.30150461,0.30107808,1.421199864,,,,,,,
"('AYC55580', 'FC42428', 'FC55569', 'FC55576', 'FFC55553', 'TI55017', 'TI55021')",2.019814501,1.080097674,0.301502725,0.301129539,1.421201781,,,,,,,
"('425 %Al', 'AYC55580', 'DI55102', 'DI55152', 'FC42428', 'FC55569', 'FC55576', 'TC55552', 'TI55017')",2.019819227,1.077909664,0.301501091,0.301021207,1.421203443,,,,,,,
"('425 %Al', 'AYC55580', 'DI55152', 'FC42428', 'FC55569', 'FC55576', 'TC55552', 'TI55017', 'TI55021')",2.019838577,1.07964251,0.3014944,0.30101451,1.421210251,,,,,,,
