Date,425 SAO Al
2014-02-18 05:00:00,6.081
2014-02-19 05:00:00,6.09
2014-02-20 05:00:00,6.142
2014-02-21 05:00:00,6.12
2014-02-22 05:00:00,6.111
2014-02-23 05:00:00,5.945
2014-02-24 05:00:00,6.064
2014-02-25 05:00:00,5.948
2014-02-26 05:00:00,5.928
2014-02-27 05:00:00,6.087
2014-02-28 05:00:00,6.008
2014-03-01 05:00:00,5.93
2014-03-02 05:00:00,6.093
2014-03-03 05:00:00,6.106
2014-03-06 05:00:00,6.214
2014-03-07 05:00:00,6.206
2014-03-08 05:00:00,6.231
2014-03-09 05:00:00,6.114
2014-03-10 05:00:00,6.068
2014-03-11 05:00:00,5.961
2014-03-12 05:00:00,6.211
2014-03-13 05:00:00,6.119
2014-03-14 05:00:00,6.054
2014-03-15 05:00:00,5.969
2014-03-16 05:00:00,6.008
2014-03-17 05:00:00,5.964
2014-03-18 05:00:00,5.972
2014-03-19 05:00:00,5.861
2014-03-20 05:00:00,5.757
2014-03-21 05:00:00,5.587
2014-03-22 05:00:00,5.407
2014-03-23 05:00:00,5.554
2014-03-24 05:00:00,5.992
2014-03-25 05:00:00,5.895
2014-03-27 05:00:00,6.207
2014-03-28 05:00:00,6.19
2014-03-29 05:00:00,6.22
2014-03-31 05:00:00,6.384
2014-04-01 05:00:00,6.326
2014-04-05 05:00:00,6.31
2014-04-06 05:00:00,6.044
2014-04-07 05:00:00,6.263
2014-04-08 05:00:00,6.442
2014-04-09 05:00:00,6.291
2014-04-10 05:00:00,6.238
2014-04-11 05:00:00,6.275
2014-04-12 05:00:00,5.914
2014-04-13 05:00:00,6.25
2014-04-14 05:00:00,6.11
2014-04-15 05:00:00,6.406
2014-04-17 05:00:00,5.851
2014-04-18 05:00:00,5.807
2014-06-01 18:00:00,6.42
2014-06-02 05:00:00,6.382
2014-06-04 05:00:00,6.455
2014-06-05 05:00:00,6.524
2014-06-06 05:00:00,6.379
2014-06-07 05:00:00,6.244
2014-06-08 05:00:00,6.261
2014-06-09 05:00:00,6.115
2014-06-15 05:00:00,6.28
2014-06-16 05:00:00,5.985
2014-06-17 05:00:00,6.213
2014-06-18 05:00:00,6.446
2014-06-19 05:00:00,6.08
2014-06-20 05:00:00,6.674
2014-06-21 05:00:00,6.185
2014-06-22 05:00:00,6.188
2014-06-23 05:00:00,6.191
2014-06-24 05:00:00,6.206
2014-06-25 05:00:00,6.021
2014-06-26 05:00:00,6.089
2014-06-27 05:00:00,6.161
2014-06-28 05:00:00,6.133
2014-06-29 05:00:00,5.571
2014-06-30 05:00:00,5.882
2014-07-01 05:00:00,5.71
2014-07-02 05:00:00,5.655
2014-07-03 05:00:00,5.999
2014-07-04 05:00:00,5.969
2014-07-05 05:00:00,6.049
2014-07-06 05:00:00,6.036
2014-07-07 05:00:00,5.987
2014-07-08 05:00:00,5.981
2014-07-09 05:00:00,5.575
2014-07-10 05:00:00,5.699
2014-07-11 05:00:00,5.878
2014-07-12 05:00:00,6.131
2014-07-13 05:00:00,5.268
2014-07-14 05:00:00,6.211
2014-07-15 05:00:00,6.12
2014-07-16 05:00:00,6.133
2014-07-17 05:00:00,6.049
2014-07-19 05:00:00,6.295
2014-07-20 05:00:00,6.38
2014-07-21 05:00:00,6.448
2014-07-22 05:00:00,6.528
2014-07-23 05:00:00,6.49
2014-07-25 05:00:00,6.322
2014-07-26 05:00:00,6.133
2014-07-27 05:00:00,6.002
2014-07-28 05:00:00,5.909
2014-07-29 05:00:00,5.935
2014-07-31 05:00:00,5.925
2014-08-01 05:00:00,5.923
2014-08-02 05:00:00,5.941
2014-08-03 05:00:00,6.111
2014-08-04 05:00:00,6.116
2014-08-05 05:00:00,6.17
2014-08-07 05:00:00,5.03
2014-08-08 05:00:00,6.065
2014-08-09 05:00:00,6.002
2014-08-10 05:00:00,5.952
2014-08-12 05:00:00,6.033
2014-08-13 05:00:00,6.0
2014-08-14 05:00:00,6.051
2014-08-15 05:00:00,6.088
2014-08-16 05:00:00,6.006
2014-08-17 05:00:00,6.068
2014-08-19 05:00:00,6.008
2014-08-20 05:00:00,6.016
2014-08-21 05:00:00,5.89
2014-08-22 05:00:00,6.068
2014-08-23 05:00:00,5.978
2014-08-24 05:00:00,6.08
2014-08-25 05:00:00,6.04
2014-08-26 05:00:00,6.099
2014-08-27 05:00:00,6.148
2014-08-28 05:00:00,6.183
2014-08-29 05:00:00,6.228
2014-08-30 05:00:00,6.19
2014-08-31 05:00:00,6.165
2014-09-01 05:00:00,6.247
2014-09-02 05:00:00,6.184
2014-09-03 05:00:00,6.229
2014-09-05 05:00:00,6.177
2014-09-06 05:00:00,6.114
2014-09-07 05:00:00,6.144
2014-09-09 05:00:00,6.125
2014-09-10 05:00:00,6.049
2014-09-11 05:00:00,6.259
2014-09-12 05:00:00,6.147
2014-09-14 05:00:00,6.237
2014-09-15 05:00:00,6.308
2014-09-16 05:00:00,6.347
2014-09-17 05:00:00,6.314
2014-09-19 05:00:00,5.934
2014-09-20 05:00:00,6.219
2014-09-21 05:00:00,6.272
2014-09-22 05:00:00,6.234
2014-09-23 05:00:00,6.283
2014-09-24 05:00:00,6.109
2014-09-26 05:00:00,6.19
2014-09-28 05:00:00,6.262
2014-09-30 05:00:00,6.241
2014-10-01 05:00:00,6.076
2014-10-02 05:00:00,6.065
2014-10-03 05:00:00,6.32
2014-10-04 05:00:00,6.138
2014-10-05 05:00:00,6.208
2014-10-06 05:00:00,6.114
2014-10-07 05:00:00,6.272
2014-10-08 05:00:00,6.267
2014-10-09 05:00:00,6.226
2014-10-10 05:00:00,6.289
2014-10-11 05:00:00,6.219
2014-10-12 05:00:00,6.184
2014-10-13 05:00:00,6.215
2014-10-15 05:00:00,6.189
2014-10-16 05:00:00,6.297
2014-10-17 05:00:00,6.192
2014-10-18 05:00:00,5.586
2014-10-19 05:00:00,5.796
2014-10-20 05:00:00,5.735
2014-10-21 05:00:00,5.933
2014-10-25 05:00:00,6.143
2014-10-26 05:00:00,6.097
2014-10-27 05:00:00,6.205
2014-10-29 05:00:00,6.148
2014-10-30 05:00:00,5.944
2014-10-31 05:00:00,4.611
2014-11-01 05:00:00,6.03
2014-11-02 05:00:00,6.016
2014-11-03 05:00:00,6.02
2014-11-05 05:00:00,6.03
2014-11-06 05:00:00,6.149
2014-11-07 05:00:00,5.967
2014-11-09 05:00:00,6.193
2014-11-10 05:00:00,6.109
2014-11-11 05:00:00,6.106
2014-11-12 05:00:00,5.694
2014-11-13 05:00:00,5.262
2014-11-14 05:00:00,5.979
2014-11-15 05:00:00,6.145
2014-11-16 05:00:00,6.225
2014-11-17 05:00:00,6.347
2014-11-18 05:00:00,6.24
2014-11-19 05:00:00,6.142
2014-11-20 05:00:00,6.208
2014-11-21 05:00:00,6.177
2014-11-24 05:00:00,6.251
2014-11-25 05:00:00,5.957
2014-11-26 05:00:00,6.009
2014-11-27 05:00:00,5.989
2014-11-28 05:00:00,6.175
2014-11-29 05:00:00,6.144
2014-11-30 05:00:00,6.171
2014-12-01 04:00:00,6.058
2014-12-02 05:00:00,6.065
2014-12-03 05:00:00,6.037
2014-12-05 05:00:00,5.901
2014-12-06 05:00:00,5.867
2014-12-07 05:00:00,5.87
2014-12-08 05:00:00,5.871
2014-12-10 05:00:00,6.007
2014-12-12 05:00:00,6.014
2014-12-13 05:00:00,6.007
2014-12-15 05:00:00,6.115
2014-12-16 05:00:00,5.768
2014-12-17 05:00:00,6.01
2014-12-18 05:00:00,5.989
2014-12-19 05:00:00,5.995
2014-12-20 05:00:00,6.056
2014-12-21 05:00:00,6.155
2014-12-22 05:00:00,5.918
2014-12-23 05:00:00,6.14
2014-12-24 05:00:00,6.066
2014-12-25 05:00:00,6.118
2014-12-26 05:00:00,6.142
2014-12-27 05:00:00,6.106
2014-12-28 05:00:00,6.357
2014-12-29 05:00:00,6.079
2014-12-31 05:00:00,5.735
2015-01-03 05:00:00,6.082
2015-01-04 05:00:00,6.108
2015-01-05 05:00:00,6.139
2015-01-06 05:00:00,6.197
2015-01-09 05:00:00,5.749
2015-01-10 05:00:00,5.744
2015-01-11 05:00:00,6.072
2015-01-15 05:00:00,6.092
2015-01-17 05:00:00,6.072
2015-01-18 05:00:00,6.047
2015-01-19 05:00:00,5.696
2015-01-20 05:00:00,6.047
2015-01-21 05:00:00,6.176
2015-01-22 05:00:00,6.064
2015-01-23 05:00:00,6.044
2015-01-24 05:00:00,6.201
2015-01-25 05:00:00,6.178
2015-01-27 05:00:00,6.236
2015-01-29 05:00:00,6.328
2015-01-30 05:00:00,6.157
2015-01-31 05:00:00,6.401
2015-02-01 05:00:00,6.213
2015-02-02 05:00:00,6.279
2015-02-03 05:00:00,6.297
2015-02-04 05:00:00,6.293
2015-02-05 05:00:00,6.175
2015-02-06 05:00:00,6.226
2015-02-07 05:00:00,6.155
2015-02-08 05:00:00,5.725
2015-02-09 05:00:00,6.173
2015-02-10 05:00:00,6.139
2015-02-11 05:00:00,6.16
2015-02-12 05:00:00,6.202
2015-02-13 05:00:00,6.173
2015-02-14 05:00:00,6.192
2015-02-15 05:00:00,6.187
2015-02-16 05:00:00,6.23
2015-02-17 05:00:00,6.213
2015-02-18 05:00:00,6.215
2015-02-19 05:00:00,6.182
2015-02-20 05:00:00,6.175
2015-02-21 05:00:00,6.107
2015-02-22 05:00:00,6.167
2015-02-23 05:00:00,6.183
2015-02-24 05:00:00,6.131
2015-02-25 05:00:00,6.165
2015-02-26 05:00:00,6.156
2015-02-27 05:00:00,6.124
2015-02-28 05:00:00,6.038
2015-03-01 05:00:00,6.211
2015-03-02 05:00:00,6.17
2015-03-03 05:00:00,6.21
2015-03-04 05:00:00,5.791
2015-03-05 05:00:00,5.668
2015-03-06 05:00:00,6.08
2015-03-07 05:00:00,6.17
2015-03-08 05:00:00,6.076
2015-03-09 05:00:00,6.094
2015-03-10 05:00:00,6.477
2015-03-11 05:00:00,6.214
2015-03-13 05:00:00,6.338
2015-03-14 05:00:00,6.313
2015-03-15 05:00:00,6.192
2015-03-16 05:00:00,6.124
2015-03-17 05:00:00,6.103
2015-03-18 05:00:00,6.17
2015-03-19 05:00:00,6.158
2015-03-20 05:00:00,6.106
2015-03-21 05:00:00,6.03
2015-03-22 05:00:00,5.962
2015-03-23 05:00:00,5.939
2015-03-24 05:00:00,5.96
2015-03-25 05:00:00,5.999
2015-03-26 05:00:00,5.973
2015-03-27 05:00:00,5.905
2015-03-28 05:00:00,5.925
2015-03-31 05:00:00,5.972
2015-04-01 05:00:00,5.924
2015-04-02 05:00:00,6.238
2015-04-04 05:00:00,5.824
2015-04-05 05:00:00,5.583
2015-04-06 05:00:00,5.575
2015-04-07 05:00:00,5.897
2015-04-09 05:00:00,5.993
2015-04-10 05:00:00,6.002
2015-04-11 05:00:00,6.0
2015-04-12 05:00:00,6.011
2015-04-13 05:00:00,6.043
2015-04-14 05:00:00,6.07
2015-04-15 05:00:00,6.189
2015-04-16 05:00:00,6.188
2015-04-17 05:00:00,6.244
2015-04-19 05:00:00,6.203
2015-04-21 05:00:00,6.149
2015-04-22 05:00:00,6.169
2015-04-23 05:00:00,6.103
2015-04-24 05:00:00,6.264
2015-04-25 05:00:00,6.349
2015-04-27 05:00:00,6.343
2015-04-28 05:00:00,6.359
2015-04-30 05:00:00,6.313
2015-05-01 05:00:00,6.321
2015-05-02 05:00:00,6.281
2015-05-03 05:00:00,6.193
2015-05-04 05:00:00,6.366
2015-05-06 05:00:00,6.301
2015-05-07 05:00:00,6.308
